Obs,Date,Time,AnimalID,Action,Recipient,Response ,Actor2,Actor3,Recip2,Recip3,Context ,Erection,Intromission,Ejaculation ,Notes,Prox_10M_AF,Prox_10M_All,Thrust_Number,IOR
JC,27/02/2019,13:33:11,96Z,Submission,5G2,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,27/02/2019,13:40:53,MUN,Mount,FUN,NA,,,,,R,UN,UN,NA,Big belly F,No Value,No Value,No Value,0
SE,27/02/2019,13:40:54,1B1,Mount,FUN,NA,,,,,CoAgg,UN,UN,NA,"Big belly F
Act 111-001",No Value,No Value,No Value,0
JC,27/02/2019,13:44:16,4N3,Aggression,96Z,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,27/02/2019,13:47:48,81O,Mount,1B1,NA,,,,,CoAgg,Erection,UN,NA,,No Value,No Value,No Value,0
JC,27/02/2019,13:51:15,1T4,Mount,FUN,NA,,,,,R,UN,NA,NA,,No Value,No Value,No Value,0
JC,27/02/2019,13:56:09,1T4,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,4,7,No Value,0
SE,28/02/2019,07:41:00,MUN,Mount,SAMUN,NA,,,,,T,Erection,Intro,NoEjac,"Act mark under right eye
Front of Wendy house whenI was getting changed  
Rec was small, not sure if SAM or AM",No Value,No Value,No Value,0
SE,28/02/2019,08:42:28,0I9,Mount,FUN,NA,,,,,CoaggObs,UN,UN,NA,"Act 000-010 back scar 
F is 6W2",No Value,No Value,No Value,0
SE,28/02/2019,08:44:14,0I9,Mount,FUN,NA,,,,,CoaggObs,Erection,Intro,UN,Act 000-010 back scari,No Value,No Value,No Value,0
SE,28/02/2019,08:45:30,0I9,Mount,FUN,NA,,,,,CoaggObs,Erection,Intro,NA,Act 000-010 back scar,No Value,No Value,No Value,0
SE,28/02/2019,08:46:49,0I9,Mount,FUN,NA,,,,,F,Erection,Intro,NA,Act 000-010 back scar,No Value,No Value,No Value,0
SE,28/02/2019,08:47:25,0I9,Mount,FUN,NA,,,,,F,Erection,Intro,UN,Act 000-010 back scar,No Value,No Value,No Value,0
SE,28/02/2019,08:48:57,0I9,Mount,FUN,NA,,,,,F,UN,UN,NA,"Act 000-010 back scar 
Same pair from 8:42 to now",No Value,No Value,No Value,0
SE,28/02/2019,08:51:30,0I9,Mount,FUN,NA,,,,,F,Erection,Intro,UN,"Act 000-010 back scar 
Same pair from 8:42 to now",No Value,No Value,No Value,0
SE,28/02/2019,08:52:23,0I9,Mount,FUN,NA,,,,,F,Erection,Intro,Ejac,"Act 000-010 back scar 
Same pair from 8:42 to now
Female has cut at tail base",No Value,No Value,No Value,0
SE,28/02/2019,09:28:31,JVMUN,Mount,JVMUN,NA,,,,,Play,UN,UN,NA,,No Value,No Value,No Value,0
SE,28/02/2019,09:56:25,3M2,SelfStim,,NA,,,,,R,Erection,NA,NoEjac,,No Value,No Value,No Value,0
SE,28/02/2019,09:57:43,3M2,SelfStim,,NA,,,,,R,Erection,NA,Ejac,,No Value,No Value,No Value,0
SE,28/02/2019,10:38:28,4R8,Erection,8O5,NA,,,,,UN,Erection,NA,NA,"4R8 act S group
8O5 R group Stained both thighs
Whilst grooming - ready to mount",No Value,No Value,No Value,0
SE,28/02/2019,12:22:28,MUN,Mount,UN,NA,,,,,R,UN,UN,UN,Act 011-001?,No Value,No Value,No Value,0
SE,28/02/2019,12:34:33,81O,Mount,FUN,NA,,,,,R,Erection,Intro,NoEjac,Floppy ears F,No Value,No Value,No Value,0
SE,28/02/2019,12:38:28,81O,Mount,FUN,NA,,,,,R,Erection,Intro,NoEjac,Floppy ears F,No Value,No Value,No Value,0
SE,28/02/2019,12:40:22,81O,Mount,FUN,NA,,,,,R,Erection,Intro,UN,Floppy ears F didn't appreciate grabbing her hair,No Value,No Value,No Value,0
SE,28/02/2019,12:41:38,81O,Mount,FUN,NA,,,,,CoaggObs,Erection,Intro,Ejac,Floppy ears F didn't appreciate grabbing her hair,No Value,No Value,No Value,0
SE,28/02/2019,12:44:13,81O,Mount,FUN,NA,,,,,CoaggObs,Erection,NoIntro,NoEjac,Floppy ears F ,No Value,No Value,No Value,0
SE,28/02/2019,12:54:02,81O,Mount,FUN,NA,,,,,R,UN,UN,UN,Floppy ears F ,No Value,No Value,No Value,0
SE,28/02/2019,12:55:03,81O,Mount,FUN,NA,,,,,R,UN,UN,UN,Floppy ears F ,No Value,No Value,No Value,0
SE,28/02/2019,13:01:16,SAMUN,Mount,8V8,NA,,,,,Agg,Erection,Intro,NoEjac,,0,0,No Value,0
JC,01/03/2019,07:52:24,6J3,Submission,7Q8,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,01/03/2019,08:12:30,MUN,Mount,FUN,NA,,,,,R,Erection,Intro,UN,,No Value,No Value,No Value,0
JC,01/03/2019,08:17:54,30L,Submission,5EE1,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,01/03/2019,08:20:55,0M1,Mount,0J4,NA,,,,,T,UN,UN,NA,"Retroactive ID 21 MAY 2019/ Rec presented as 0M1 walked past. 
101-011",No Value,No Value,No Value,0
JC,01/03/2019,08:26:17,3M9,Submission,5P8,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,08:26:35,3M9,Aggression,6J3,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,01/03/2019,08:33:49,9EE3,Mount,3U1,NA,,,,,R,Erection,Intro,NoEjac,"Retroactive ID 21 MAY 2019 / 3u1 rec
Act 9E3? Scar rear left knee and back 110-111",No Value,No Value,No Value,0
JC,01/03/2019,08:34:03,1G9,Submission,2Q9,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,08:34:32,6H9,Aggression,1G9,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,01/03/2019,08:34:58,MUN,Mount,MUN,NA,,,,,R,Erection,Intro,NoEjac,,No Value,No Value,No Value,0
JC,01/03/2019,08:43:39,3K4,Aggression,5L1,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,08:45:47,1M1,Mount,FUN,NA,,,,,F,UN,UN,UN,2S1?,11,20,No Value,0
JC,01/03/2019,08:47:34,97V,Aggression,7D2,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,08:48:49,7J0,Submission,7D2,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,08:51:37,5L1,Aggression,SAMUN,NA,7J0,,,,F,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,08:56:49,1Q0,Submission,4P8,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,09:06:47,3K4,Submission,7G9,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,09:18:15,1T4,Aggression,1G9,IgnoreRefusal,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,01/03/2019,09:47:50,1M1,Mount,FUN,NA,,,,,Aff,UN,UN,UN,2S1,3,5,No Value,0
JC,01/03/2019,09:50:07,2Q9,Mount,FUN,NA,,,,,CoAgg,Erection,UN,NoEjac,,10,13,No Value,0
SE,01/03/2019,10:05:45,3I6,Mount,FUN,NA,,,,,R,UN,UN,NA,,No Value,No Value,No Value,0
SE,01/03/2019,10:18:39,3I6,Mount,FUN,NA,,,,,R,UN,UN,NA,,No Value,No Value,No Value,0
SE,04/03/2019,07:33:34,SAMUN,Mount,SAMUN,NA,,,,,T,UN,UN,NA,"6W3 - think it was the rec
3U6??",No Value,No Value,No Value,0
SE,04/03/2019,07:44:43,8C3,Mount,8K9,NA,,,,,T,UN,UN,NA,,No Value,No Value,No Value,0
SE,04/03/2019,07:49:08,SAMUN,Mount,SAMUN,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,04/03/2019,07:49:39,8V9,Mount,SAMUN,NA,,,,,T,NoErection,NA,NA,,No Value,No Value,No Value,0
SE,04/03/2019,07:50:00,8V9,Mount,SAMUN,NA,,,,,T,NoErection,NA,NA,,No Value,No Value,No Value,0
SE,04/03/2019,08:07:00,INFANT,Mount,FUN,NA,,,,,R,NoErection,NA,NA,,No Value,No Value,No Value,0
SE,04/03/2019,08:07:00,INFANT,Mount,FUN,NA,,,,,R,NoErection,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,08:07:39,2Q9,Mount,FUN,NA,,,,,F,Erection,Intro,NoEjac,,10,13,No Value,0
JC,04/03/2019,08:38:31,7G9,Aggression,7J0,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,08:39:34,7D2,Aggression,7J0,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,08:39:56,7G9,Submission,7D2,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:03:22,3R8,Submission,5D1,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:04:02,97V,SolSex,FUN,IgnoreRefusal,,,,,T,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:05:29,5P8,Submission,3I3,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:11:00,30Z,Submission,7D2,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:11:26,7G9,Submission,7D2,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:12:18,3K4,Submission,7H9,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:15:23,7Q8,Aggression,7G9,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:18:42,5P8,Aggression,4O5,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:27:34,3L7,Aggression,4O5,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:42:07,2N1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,No Value,No Value,No Value,0
JC,04/03/2019,09:44:07,2N1,Mount,FUN,NA,,,,,F,Erection,Intro,NoEjac,,3,7,No Value,0
JC,04/03/2019,09:49:42,5L1,Aggression,2J6,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,09:50:17,5L1,Submission,3L7,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,04/03/2019,10:16:01,MUN,Mount,4G8,NA,,,,,R,NoErection,NA,NA, ,No Value,No Value,No Value,0
JC,04/03/2019,10:18:05,96B,Submission,44T,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
